UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
출고요청일시,"Data>DeliveryReqDate, Data>WarehouseReqDate",스타배송 API,2,✅ 핵심 UDS,판매자가 출고요청처리한 일시 내려감
출고일시,Data>WarehouseOutDate,스타배송 API,1,✅ 핵심 UDS,출고일시 내려감
출고제한일,"Data>Data>ExpireDateRiskDays, Data>Data>OwLimitDay","Other, 스타배송 API",2,✅ 핵심 UDS,판매자가 입력한 상미기일구간에 따른 출고제한일 내려감
출고진행상태,"Data>WarehouseStatusCode, WarehouseStatusCode",스타배송 API,1,✅ 핵심 UDS,ALL : 전체 OR : 출고요청 OA : 할당 OP : Picking OI : 검수 OS : 출고완료 OC : 취소
출하지명,"items>shipping>placeName, placeName, shippingPlaces>placeName","상품 API, 스타배송 API",3,✅ 핵심 UDS,조회시 내려가는 정보
출하지번호,"itemAddtionalInfo>shipping>policy>placeNo, placeNo, policies>placeNo, shipmentPlaceNo, shippingPlaces>placeNo","상품 API, 스타배송 API",7,✅ 핵심 UDS,출하지 번호 입력 임의 값으로 입력 가능함 입력한 값은 무시되고 스타배송 물류센터 정보로 자동 적용됩니다 .
출하지정보,items>shipping>placeNo,상품 API,1,✅ 핵심 UDS,
취소배송비,data>AddShippingFee,클레임 API,1,✅ 핵심 UDS,"조건부배송정책으로 무료로 구입한 상품을 취소할 경우, 무료배송 조건이 깨질경우 추가금액을 고객에게 부과함"
취소사유,data>Reason,클레임 API,1,✅ 핵심 UDS,0 : 판매자귀책 1 : 구매자귀책 2 : 기타 고객이 Front에서 취소신청할 경우 '1 : 구매자귀책'으로 내려감
취소상태,"CancelStatus, data>CancelStatus",클레임 API,1,✅ 핵심 UDS,"조회한 주문의 현재 취소상태 1 : 취소요청 2 : 취소중 3 : 취소완료 4 : 취소철회 5 : 사이트 직권환불건(취소완료건 중, 고객센터에서 환불처리한 Case) 6 : 옥션송금후취소"
취소승인일자,data>ApproveDate,클레임 API,1,✅ 핵심 UDS,
취소신청일자,data>RequestDate,클레임 API,1,✅ 핵심 UDS,
취소신청자,data>RequestUser,클레임 API,1,✅ 핵심 UDS,취소신청한 주체 0 : 없음 1 : 구매자 2 : 판매자 3 : 고객센터 4 : 기타 5 : 선물수령인
취소완료일자,data>CompleteDate,클레임 API,1,✅ 핵심 UDS,
취소요청사유코드,data>ReasonCode,클레임 API,1,✅ 핵심 UDS,0 : 기타 1 : 단순변심 2 : 사이즈/색상 등 변경 3 : 오배송 4 : 상품미도착 5 : 상품불량 6 : 재고없음(판매자요청) 7 : 선물수락기한만료 8 : 선물거절 11 : 구매자 취소요청 - 스마일프레시 전용 고객이 Front에서 취소신청할 경우 '1: 단순변심'으로 내려감
취소처리자,data>ApproveUser,클레임 API,1,✅ 핵심 UDS,취소처리한 주체 0 : 없음 1 : 구매자 2 : 판매자 3 : 고객센터 4 : 기타
취소철회일자,data>WithdrawDate,클레임 API,1,✅ 핵심 UDS,
"카탈로그 코드(구, ESM 상품식별코드)",itemBasicInfo>catalog>epinCode,상품 API,1,✅ 핵심 UDS,"- 입력된 경우 카테고리와 브랜드, 속성정보 자동 입력 - 등록된 이후 카탈로그 코드 수정 불가 ※ 카탈로그는 관리자에 의해 매칭될 수 있습니다."
퀵서비스 업체명,itemAddtionalInfo>shipping>quickService>companyName,상품 API,1,✅ 핵심 UDS,퀵서비스 업체 텍스트 입력
퀵서비스 연락처,itemAddtionalInfo>shipping>quickService>phoneNo,상품 API,1,✅ 핵심 UDS,숫자만 입력
퀵서비스 정보,itemAddtionalInfo>shipping>quickService,스타배송 API,1,✅ 핵심 UDS,3PL 상품은 지원하지 않아 null 로 호출
퀵서비스 제공여부,itemAddtionalInfo>shipping>quickService>isUse,상품 API,1,✅ 핵심 UDS,true : 가능 false : 불가
퀵서비스 제공지역,itemAddtionalInfo>shipping>quickService>shippingEnableRegionCode,상품 API,1,✅ 핵심 UDS,"Code 복수입력 가능 0100:서울, 0200:경기(전체), 0201 : 고양, 0202 : 고촌, 0203 : 곤지암, 0204 : 과천, 0205 : 광명, 0206 : 광주, 0207 : 교문리, 0208 : 구리, 0209 : 구성, 0210 : 군포, 0211 : 김포, 0212 : 부천, 0213 : 분당, 0214 : 성남, 0215 : 수원, 0216 : 수지, 0217 : 시흥, 0218 : 안산, 0219 : 안양, 0220 : 용인, 0221 : 의왕, 0222 : 의정부, 0223 : 이천, 0224 : 일산, 0225 : 지축, 0226 : 파주, 0227 : 하남, 0300:광주, 0400:대구, 0500:대전, 0600:부산, 0700:울산, 0800:인천"
클레임 slot 여부,isClaimSlot,서비스 API,1,✅ 핵심 UDS,(이마트몰 전용)
클레임 구분,ClaimType,스타배송 API,2,✅ 핵심 UDS,반품건인지 교환건인지 구분코드 입력 RT : 반품 EX : 교환
클레임관리번호,Data>ClaimSeqNo,스타배송 API,1,✅ 핵심 UDS,내부클레임관리번호 내려감
클레임상태,"ClaimStatus, Data>ClaimStatus, Data>ClaimType",스타배송 API,1,✅ 핵심 UDS,0 : 전체 1 : 반품입고신청 2 : 반품입고완료 3 : 교환입고신청 4 : 교환입고완료 5 : 클레임입고미신청 & 반품입고완료(5번은 추후 제공예정)
클레임세부상태,ClaimStatus,주문/배송 API,1,✅ 핵심 UDS,"Status > 6번 취소일 경우 1: 취소신청, 2: 취소중, 3: 취소완료 Status > 7번 반품일 경우 1: 반품신청, 2: 반품처리중, 3: 반품완료 Status > 8번 교환일 경우 1: 교환신청, 2: 교환수거완료, 3:교환재발송중, 4:교환재발송완료 (교환수거 및 재발송 완료)"
택배반출주소1,RcverInfoAd1,Other,1,✅ 핵심 UDS,택배반출일 경우에만 필수입력 (최대 200Byte)
택배반출주소2,RcverInfoAd2,Other,1,✅ 핵심 UDS,택배반출일 경우에만 필수입력 (최대 250Byte)
택배사 코드,"DeliveryCompCode, deliveryCompanies>deliveryCompCode","Other, 스타배송 API, 클레임 API",15,✅ 핵심 UDS,ClaimCancelType > 1 일 경우 필수 택배사코드 참고( https://etapi.gmarket.com/142 )
택배사명,"data>TakbaeName, deliveryCompanies>deliveryCompName","Other, 주문/배송 API",2,✅ 핵심 UDS,발송 택배사명
택배사코드,"Data>DeliveryCompCode, DeliveryCompanyCode, itemAddtionalInfo>shipping>companyNo","상품 API, 스타배송 API, 주문/배송 API",4,✅ 핵심 UDS,택배사 리스트 조회 API - [GET] https://sa2.esmplus.com/item/v1/shipping/delivery-company (참조 - https://etapi.gmarket.com/142 )
택배송장URL,Data>TrackingUrl,주문/배송 API,1,✅ 핵심 UDS,
텍스트형 옵션여부,isTextOption,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보 해당 추천옵션그룹이 텍스트형인지 여부 true: 텍스트형 false: 텍스트형 아님
텍스트형 자율 옵션 사용 가능 여부,customTextOptionUseYn,Other,1,✅ 핵심 UDS,Y : 사용 가능 N : 사용 불가
통합생활용품인증 타입,itemAddtionalInfo>certInfo>safetyCerts>life>type,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"통합인증대상 상품 아닐경우 "" 인증대상아님 "" 으로 입력 0: 인증대상 , 1: 인증대상아님 , 2: 상품상세별도표기"
통합생활용품인증코드,itemAddtionalInfo>certInfo>safetyCerts>life>details>certId,"상품 API, 스타배송 API",2,✅ 핵심 UDS,인증코드 입력
통합생활용품인증품목,itemAddtionalInfo>certInfo>safetyCerts>life>details>certTargetCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"통합생활용품인증 타입 0 번일 경우 필수 아래 인증품목중 해당하는 품목 입력 0: 안전인증 , 1: 안전확인 , 3: 공급자적합성확인"
통합어린이인증 타입,itemAddtionalInfo>certInfo>safetyCerts>child>type,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"통합인증대상 상품 아닐경우 "" 인증대상아님 "" 으로 입력 0: 인증대상 , 1: 인증대상아님 , 2: 상품상세별도표기"
통합어린이인증코드,itemAddtionalInfo>certInfo>safetyCerts>child>details>certId,"상품 API, 스타배송 API",2,✅ 핵심 UDS,인증코드 입력
통합어린이인증품목,itemAddtionalInfo>certInfo>safetyCerts>child>details>certTargetCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"통합어린이인증 타입 0 번일 경우 필수 아래 인증품목중 해당하는 품목 입력 0: 안전인증 , 1: 안전확인 , 3: 공급자적합성확인"
통합위해우려제품인증 타입,itemAddtionalInfo>certInfo>safetyCerts>harmful>type,스타배송 API,1,✅ 핵심 UDS,"설정 없을 경우 , 해당 카테고리는 무조건 Default 로 "" 상세설명에 별도표기 "" 로 설정됨 0: 인증대상 , 1: 인증대상아님 , 2: 상품상세별도표기"
통합자가검사번호,itemAddtionalInfo>certInfo>safetyCerts>harmful>certId,"상품 API, 스타배송 API",2,✅ 핵심 UDS,type > 0 번일 경우 필수 인증코드 입력 100byte
통합전기인증 타입,itemAddtionalInfo>certInfo>safetyCerts>electric>type,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"통합인증대상 상품 아닐경우 "" 인증대상아님 "" 으로 입력 0: 인증대상 , 1: 인증대상아님 , 2: 상품상세별도표기"
통합전기인증코드,itemAddtionalInfo>certInfo>safetyCerts>electric>details>certId,"상품 API, 스타배송 API",2,✅ 핵심 UDS,인증코드 입력
통합전기인증품목,itemAddtionalInfo>certInfo>safetyCerts>electric>details>certTargetCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,"통합전기인증 타입 0 번일 경우 필수 아래 인증품목중 해당하는 품목 입력 0: 안전인증 , 1: 안전확인 , 3: 공급자적합성확인"
통화,"Data>Currency, TotalTransferAmountForeign>Currency",정산조회 API,1,✅ 핵심 UDS,송금된 통화
통화 기준 외화 금액 합계,TotalTransferAmountForeign>CurrencyTransferAmountForeign,정산조회 API,1,✅ 핵심 UDS,조회 내역 내 해당 통화 기준 TransferAmountForeign 합계 금액
판매 기간 종료일,items>dispEndDate,상품 API,1,✅ 핵심 UDS,
판매금액,"data>OrderAmount, data>RequestOrders>OrderAmount",주문/배송 API,2,✅ 핵심 UDS,- G마켓 : (판매단가 * 수량) - 옥션 : (판매단가 * 수량) - 사이트 할인금액
판매단가,"Data>OrderUnitPrice, data>RequestOrders>SalePrice, data>SalePrice","정산조회 API, 주문/배송 API",3,✅ 핵심 UDS,주문 시점 연동된 판매가
판매단위,"Data>Data>OwUnitCode, OwUnitCode",스타배송 API,2,✅ 핵심 UDS,판매자가 입력한 해당 SKU 의 판매단위 내려감 4 : 낱개 14 : 팩 12 : 박스
판매단위 입수량,"Data>Data>OwUnitQty, OwUnitQty",스타배송 API,2,✅ 핵심 UDS,"판매단위 낱개 / 팩 선택 시, 박스당 입수량 숫자입력 최대 100000이하까지 입력가능 박스일 경우 1 고정 필수입력"
판매상태를 변경합니다,SKU,스타배송 API,1,✅ 핵심 UDS,SKU 판매상태를 변경합니다.
판매자 공지사항을,ESM,CS API,1,✅ 핵심 UDS,ESM 판매자 공지사항을 조회합니다.
판매자 관리코드,"data>OutGoodsNo, itemAddtionalInfo>managedCode","상품 API, 주문/배송 API",2,✅ 핵심 UDS,- 판매자 관리 코드 or 자사몰 상품번호 입력 - 100byte 이내 입력 가능
판매자 브랜드명,itemAddtionalInfo>sellerShop>brandName,"상품 API, 스타배송 API",2,✅ 핵심 UDS,판매자 자사몰 브랜드명 * 추후 카테고리 자동 재분류를 위한 기준으로 정확하게 입력
판매자 브랜드코드,itemAddtionalInfo>sellerShop>brandCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,판매자 자사몰 브랜드코드 * 추후 카테고리 자동 재분류를 위한 기준으로 정확하게 입력
판매자 사이트 ID,Data>SellerId,CS API,1,✅ 핵심 UDS,
판매자 사이트ID,SellerId,CS API,1,✅ 핵심 UDS,
판매자 상품코드,"itemAddtionalInfo>managedCode, sellManageCode","상품 API, 스타배송 API",2,✅ 핵심 UDS,해당 상품의 판매자가 관리할 고유 코드 입력 or 자사몰 상품번호 입력
판매자 스타배송 여부,"isStarDelivery, itemBasicInfo>isStarDelivery, items>isStarDelivery",상품 API,2,✅ 핵심 UDS,판매자 스타배송 경우 true 로 설정 ※ 판매자 스타배송 권한 있는 경우만 설정 가능
판매자 옵션관리 번호,"ORDER_INFO>ORDER_OPTION>OPTION_INFO>STOCK_NO, STOCK_REMAIN_INFO>ORDER_OPTION>OPTION_INFO>STOCK_NO",서비스 API,1,✅ 핵심 UDS,
판매자 자사몰 상품번호,SellerItemNo,주문/배송 API,2,✅ 핵심 UDS,최대 30byte까지 입력가능 G마켓/옥션 주문번호와 매칭되는 판매자 자사몰의 상품번호 판매자 자사몰의 CS와 커뮤니케이션 시 이용하는 정보로 자사몰CS에서 확인가능한 실제 번호 연동
판매자 주문번호,SellerOrderNo,주문/배송 API,2,✅ 핵심 UDS,최대 30byte까지 입력가능 G마켓/옥션 주문번호와 매칭되는 판매자 자사몰의 주문번호 판매자 자사몰의 CS와 커뮤니케이션 시 이용하는 정보로 자사몰CS에서 확인가능한 실제 번호 연동
판매자 지급 스마일캐시,data>SellerCashBackMoney,주문/배송 API,1,✅ 핵심 UDS,판매자 지급 스마일 캐시 적용금액
판매자 카테고리명,itemAddtionalInfo>sellerShop>catName,"상품 API, 스타배송 API",2,✅ 핵심 UDS,판매자 자사몰 카테고리 대 / 중 / 소 / 상세 합쳐서 전체 텍스트명 입력 * 추후 카테고리 자동 재분류를 위한 기준으로 정확하게 입력
판매자 카테고리코드,itemAddtionalInfo>sellerShop>catCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,판매자 자사몰 카테고리 대 / 중 / 소 / 상세 코드 입력 * 추후 카테고리 자동 재분류를 위한 기준으로 정확하게 입력
판매자 펀딩할인,data>SellerFundingDiscountPrice,주문/배송 API,1,✅ 핵심 UDS,(G마켓만 주문만)
판매자 할인금액,data>SellerDiscountPrice1,주문/배송 API,1,✅ 핵심 UDS,- 판매자할인금액 1과 2 나누어서 연동한 1 적용한 금액
판매자ID,"SellerId, data>SellerId","정산조회 API, 주문/배송 API, 클레임 API",8,✅ 핵심 UDS,해당주문건의 판매자ID
판매자공제금액,data>OutsidePrice,주문/배송 API,1,✅ 핵심 UDS,제휴수수료등 정산금액에서 추가 공제될 금액
판매자관리번호,"ORDER_INFO>PRODUCT, STOCK_REMAIN_INFO>PRODUCT",서비스 API,2,✅ 핵심 UDS,
판매자관리코드,"data>OutItemNo, data>RequestOrders>OutGoodsNo, items>managedCode","상품 API, 주문/배송 API, 클레임 API",3,✅ 핵심 UDS,판매자관리코드(판매자상품번호) 해당 주문 상품 등록 시 판매자가 입력했던 관리코드
판매자명,representativeName,Other,1,✅ 핵심 UDS,고객에게 반품수취인으로 노출되는 판매자명
판매자번호,SellCustNo,서비스 API,1,✅ 핵심 UDS,관리자에게 확인 필요
판매자상세관리코드,data>ItemOptionCodes,클레임 API,1,✅ 핵심 UDS,판매자가 해당 상품의 옵션관리코드로 등록한 번호
판매자주소록번호,addrNo,Other,1,✅ 핵심 UDS,수정[PUT] / 조회[GET]일 경우만 필수 등록시 response로 자동채번된 번호
판매자주소번호,"addrNo, shippingPlaces>addrNo","상품 API, 스타배송 API",2,✅ 핵심 UDS,주소번호는 기등록된 주소번호 사용 가능
판매자할인 사용 여부,useDiscount,상품 API,1,✅ 핵심 UDS,
판매자할인 사용여부,"addtionalInfo>sellerDiscount>isUse, sellerDiscount>isUse","Other, 상품 API, 스타배송 API",3,✅ 핵심 UDS,"상품가격에서 추가로 판매자 할인 적용할 경우 입력 위에 등록한 G 판매가격 /A 판매가격에서 할인 적용됨 true : 할인적용 , false : 할인미적용 * 옥션 할인일 경우 , 아래 """"gmkt"""" Entity 대신 """"iac"""" 입력"
판매자할인금액1,"Data>SellerDiscountPrice1, data>RequestOrders>SellerDiscountPrice1","정산조회 API, 주문/배송 API",2,✅ 핵심 UDS,판매자할인금액 1과 2로 나누어서 연동한 1번 적용된 할인금액
판매자할인금액2,"Data>SellerDiscountPrice2, data>RequestOrders>SellerDiscountPrice2, data>SellerDiscountPrice2","정산조회 API, 주문/배송 API",3,✅ 핵심 UDS,- 판매자할인금액1과 2로 나누어서 연동한 2번 적용된 할인금액 - 옥션 경우 판매자할인2 연동 불가시 할인금액 구분되지 않음
판매자할인금액총액,"data>RequestOrders>SellerDiscountPrice, data>SellerDiscountPrice",주문/배송 API,2,✅ 핵심 UDS,판매자할인금액 1+2로 적용된 최종 금액
판매자할인총액,"Data>SellerDiscountPrice, Data>SellerDiscountTotalPrice",정산조회 API,1,✅ 핵심 UDS,
판매종료 시작일,sellEndDate>from,상품 API,1,✅ 핵심 UDS,YYYY-MM-DD 형태로 입력
판매종료 종료일,sellEndDate>to,상품 API,1,✅ 핵심 UDS,YYYY-MM-DD 형태로 입력
판매진행상태,"Data>SellStatus, SellStatus",CS API,2,✅ 핵심 UDS,"참고용 데이터 ( 현재 옥션만 지원 ) 긴급알리미 접수 시점 해당 주문의 최종 주문상태 예 ) 교환물품도착 , 반품보류 등"
팩입수량,"Data>Data>PackQty, PackQty",스타배송 API,2,✅ 핵심 UDS,"판매단위가 팩일 경우, 박스 안에 몇 개가 들어가는지 입력 최대 100000이하까지 입력가능 박스일 경우 1 고정 필수입력 해당 SKU가 팩일 경우, OwUnitQty와 동일값"
페이지 번호,PageNo,정산조회 API,1,✅ 핵심 UDS,
페이지 사이즈,"PageSize, pageSize","상품 API, 스타배송 API, 정산조회 API",4,✅ 핵심 UDS,- 전체 조회시 사용 가능 - 최대 500 까지 입력 가능
페이지 인덱스,pageIndex,"상품 API, 스타배송 API",3,✅ 핵심 UDS,- 전체 조회시 사용 가능
페이지No,Page,주문/배송 API,1,✅ 핵심 UDS,1 이상 입력 가능
페이지Size,pageSize,Other,1,✅ 핵심 UDS,전체조회 시 내려가는 정보
페이지번호,"PageIndex, PageNo, pageIndex","Other, 스타배송 API, 정산조회 API",13,✅ 핵심 UDS,전체조회 시 내려가는 정보
페이지사이즈,"PageSize, pageSize","Other, 스타배송 API, 정산조회 API",11,✅ 핵심 UDS,1페이지에 출력하려는 리스트 Max값 1000까지 지원 가능
풀필먼트 스타배송 무료배송 여부,items>shipping>is3plDeliveryFeeFree,상품 API,1,✅ 핵심 UDS,
풀필먼트 스타배송 여부,"is3PL, items>is3PL",상품 API,1,✅ 핵심 UDS,
프로모션 상품명,promotion,상품 API,1,✅ 핵심 UDS,- 검색용 + 프로모션용 최대 100byte 까지 입력 가능 - 프로모션용은 상시 수정 가능 - 사이트별 입력시 지마켓 프로모션명
"프로모션명 (공통, 지마켓)","itemBasicInfo>goodsName>promotion, kor",상품 API,2,✅ 핵심 UDS,- 검색용 + 프로모션용 최대 100byte 까지 입력 가능 - 프로모션용은 상시 수정 가능 - 사이트별 입력시 지마켓 프로모션명
프로모션명 (옥션),"itemBasicInfo>goodsName>promotionIac, promotionIac",상품 API,2,✅ 핵심 UDS,- 검색용 + 프로모션용 최대 100byte 까지 입력 가능 - 프로모션용은 상시 수정 가능 - 사이트별 입력시 옥션 프로모션명
프로모션명 타입,"itemBasicInfo>goodsName>promotionType, items>prmtGoodsNameType, promotionType",상품 API,3,✅ 핵심 UDS,0 : 공통 1 : 사이트별 미입력시 공통 입력으로 처리
프로모션용 국문상품명,itemBasicInfo>goodsName>promotion,스타배송 API,1,✅ 핵심 UDS,
필수 설정 값 없음,D,주문/배송 API,1,✅ 핵심 UDS,필수 설정 값 없음
필수 설정 값 없음 - 발송마감일,F,주문/배송 API,1,✅ 핵심 UDS,- 필수 설정 값 없음 - 발송마감일 +30일로 자동 계산
하차스캔일시,Data>ScanDate,스타배송 API,1,✅ 핵심 UDS,
할인금액 / 할인율,discount>value,Other,1,✅ 핵심 UDS,조회 시 내려가는 정보 숫자입력 type : 2 일 경우 파라미터 삭제후 호출
할인금액/할인율,discount>value,Other,1,✅ 핵심 UDS,숫자입력 type : 2일 경우 파라미터 삭제후 호출
합포장여부,"BundleType, Data>BundleType, Data>Data>BundleType",스타배송 API,5,✅ 핵심 UDS,"센터에서 검수 후, 해당 SKU 합포장 가능여부 내려감 B : 합포장가능 I : 합포장불가능"
해외배송비,Data>DelFeeOverseaAmt,정산조회 API,1,✅ 핵심 UDS,
해외배송여부,data>OverseaTransYn,주문/배송 API,1,✅ 핵심 UDS,Y : 해외배송주문 N : 국내배송주문
환불일자,Data>RefundDate,정산조회 API,1,✅ 핵심 UDS,
환율,Data>ExchangeRate,정산조회 API,1,✅ 핵심 UDS,
회수인명(판매자정보),"PickupInfo>ReceiverInfo>Name, data>PickupInfo>ReceiverInfo>Name",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
회수인전화번호(판매자정보),"PickupInfo>ReceiverInfo>TelNo, data>PickupInfo>ReceiverInfo>TelNo",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
회수인휴대폰(판매자정보),"PickupInfo>ReceiverInfo>HpNo, data>PickupInfo>ReceiverInfo>HpNo",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
회수지우편번호(판매자정보),"PickupInfo>ReceiverInfo>ZipCode, data>PickupInfo>ReceiverInfo>ZipCode",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
회수지주소1(판매자정보),"PickupInfo>ReceiverInfo>AddressFront, data>PickupInfo>ReceiverInfo>AddressFront",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
회수지주소1+2(판매자정보),"PickupInfo>ReceiverInfo>Address, data>PickupInfo>ReceiverInfo>Address",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
회수지주소2(판매자정보),"PickupInfo>ReceiverInfo>AddressBack, data>PickupInfo>ReceiverInfo>AddressBack",클레임 API,2,✅ 핵심 UDS,판매자가 해당 상품의 반품 배송지로 등록한 정보 내려감
후원금액,gmarket>amount,Other,1,✅ 핵심 UDS,100원 이상 등록가능 판매가 80% 까지 설정 가능
휴일여부,"customSchedules>isHoliday, dailyOrderCutoff>isHoliday",스타배송 API,2,✅ 핵심 UDS,(2025년 11월 12일 부터 사용 가능)
( 선택형 / 조합형 ) 노출여부 - 사이트별 G마켓,independent>details>isDisplaySite>gmkt,Other,1,🟡 후보,지마켓 옵션 노출여부 제어 true : 노출 false : 미노출 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
( 선택형 / 조합형 ) 노출여부 - 사이트별 옥션,independent>details>isDisplaySite>iac,Other,1,🟡 후보,옥션 옵션 노출여부 제어 true : 노출 false : 미노출 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
( 선택형 / 조합형 ) 품절여부 - 사이트별 G마켓,independent>details>isSoldOutSite>gmkt,Other,1,🟡 후보,지마켓 옵션 품절여부 제어 - 옵션 재고수량으로 제어하지 않음 true : 품절 false : 판매 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
( 선택형 / 조합형 ) 품절여부 - 사이트별 옥션,independent>details>isSoldOutSite>iac,Other,1,🟡 후보,옥션 옵션 품절여부 제어 - 옵션 재고수량으로 제어하지 않음 true : 품절 false : 판매 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
ESM 카테고리코드 (최하위 카테고리코드),sdCatCode,Other,1,🟡 후보,ESM 카테고리 기준 G마켓/옥션 카테고리가 매칭되어 있음 ESM 카테고리 입력시 매칭 G마켓/옥션 카테고리 입력하여 등록/수정 조회한 카테고리 기준 매칭 카테고리 확인 가능
SKU대상유형,SkuStockType,Other,1,🟡 후보,반출할 SKU 대상 선택(SKU상태별 각각 요청 등록) 1: 판매가능재고 SKU직접입력 2: 반품보류재고 전체 반출 3: 파손보류재고 전체 반출 4: 소비기한보류재고 전체 반출 동일한 상태의 SKU만 요청 가능
SkuStockCode,SkuStockCode,Other,1,🟡 후보,JSON sample key
SkuStockType,SkuStockType,Other,2,🟡 후보,JSON sample key
[ ]지점서비스형태,service>Types,서비스 API,1,🟡 후보,조회 시 내려가는 정보
공지구분,boardType,CS API,1,🟡 후보,"일반공지, 안전거래공지, 카테고리공지, 광고공지, 이벤트공지, 시스템공지, 위해상품공지, API공지"
공지내용,details,CS API,1,🟡 후보,html로 제공
공지등록일,requestDate,CS API,1,🟡 후보,
공지제목,title,CS API,1,🟡 후보,
그룹카테고리코드,giCategoryCode,Other,2,🟡 후보,그룹대표 카테고리코드 ( 대중소전체 내려감 )
당배관 지점코드,ORDER_INFO>BRANCHID,서비스 API,1,🟡 후보,당일배송 ( 장보기 ) 상품만 해당된 일반 상품은 해당 없음
미니샵 카테고리코드,shopCatCode,Other,1,🟡 후보,조회한 카테고리코드 기준 하위 카테고리 확인 가능
브랜드 코드,ESM,Other,1,🟡 후보,ESM 브랜드 코드 조회하여 상품등록시 입력합니다. ESM 브랜드 코드는 등록 가능한 코드가 지정되어 있고 브랜드가 조회되지 않을 경우 브랜드코드 추가 요청할 수 있습니다.
상세브랜드명,productBrandName,Other,1,🟡 후보,
상세브랜드코드,productBrandNo,Other,1,🟡 후보,
지점명,name,서비스 API,1,🟡 후보,지점명
지점위치 경도,location>longitude,서비스 API,1,🟡 후보,location 입력 시 필수 연동
지점위치 위도,location>latitude,서비스 API,1,🟡 후보,location 입력 시 필수 연동
최하위 카테고리 여부,subCats>isLeaf,Other,1,🟡 후보,조회 시 내려가는 정보 true : 최하위 카테고리 false : 하위 카테고리가 있음 * 상품 등록/수정시 최하위 카테고리
최하위 카테고리여부,"isLeaf, sdCategoryTree>IsLeafCategory",Other,3,🟡 후보,true : 최하위 카테고리인 경우 false : 하위 카테고리가 있을 경우 subCats Object는 하위카테고리의 최하위카테고리 여부 상품 등록/수정 시 최하위 카테고리를 연동해야함
카테고리,ESM,Other,1,🟡 후보,"ESM 카테고리 조회하여 상품 등록/수정 시 필수 입력합니다. (상품 등록/수정 시에는 최종 leaf 카테고리로 입력) 조회된 ESM 카테고리 기준으로 매칭된 지마켓, 옥션 카테고리 확인할 수 있습니다."
카테고리 기준으로 등록,ESM,Other,1,🟡 후보,ESM 카테고리 기준으로 등록 가능 추가구성 유형과 항목을 조회 합니다.
카테고리구분,Data>Data>CategoryLevel,Other,1,🟡 후보,리프카테고리가 대/중/소분류 중 무엇인지 구분값 내려감 1 : 대분류 2 : 중분류 3 : 소분류
카테고리는 등록,ESM,Other,1,🟡 후보,ESM 카테고리는 등록 가능한 G마켓/옥션 카테고리가 지정되어 있습니다. Site 카테고리와 매칭된 ESM 카테고리를 조회하여 입력해주세요.
카테고리명,"CatName, catName, sdCategoryTree>SDCategoryName, subCats>catName",Other,4,🟡 후보,조회대상 카테고리명 subCats Object는 하위카테고리명
카테고리코드,"catCode, sdCategoryTree>SDCategoryCode, subCats>catCode",Other,4,🟡 후보,조회대상 카테고리 코드 Gmkt Object에 묶여있으면 G마켓 카테고리 IAC Object에 묶여있으면 옥션 카테고리
프로모션 등록여부,"getHomeShoppingList>homeShoppingSubInfo>useYn, homeShoppingSubInfo>useYn",Other,1,🟡 후보,프로모션 정보 등록할지 여부 설정 true : 프로모션 등록 false : 프로모션 등록하지 않음
프로모션 문구,"getHomeShoppingList>homeShoppingSubInfo>promotionText, homeShoppingSubInfo>promotionText",Other,1,🟡 후보,방송 편성표용 프로모션 메인 문구
프로모션 스펙문구,"getHomeShoppingList>homeShoppingSubInfo>promotionSpecText, homeShoppingSubInfo>promotionSpecText",Other,1,🟡 후보,방송 편성표용 프로모션 스펙 문구
프로모션 이미지,"getHomeShoppingList>homeShoppingSubInfo>promotionImageUrl, homeShoppingSubInfo>promotionImageUrl",Other,1,🟡 후보,방송 편성표용 프로모션 딜카드 이미지 URL
