UDS 속성명,Naver 필드명,API 영역,사용 문서 수,UDS 필요도,설명
당일 배송,"basisHour, basisMinute",판매자 오늘출발 설정,2,✅ 핵심 UDS,basisMinute integer<int32> REQUIRED 당일 배송 설정 시간 분
대표 단위 코드 (string),representativeUnitCode,상품 속성,1,✅ 핵심 UDS,representativeUnitCode 대표 단위 코드 (string)
대표 사용 불가 사유,impossibleReason,판매자 인증 JWE 해석,1,✅ 핵심 UDS,impossibleReason string 대표 사용 불가 사유
대표 이미지 URL,representativeImageUrl,판매자,1,✅ 핵심 UDS,representativeImageUrl string 대표 이미지 URL
데이터 정렬 적용 여부 (boolean),sorted,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,sorted 데이터 정렬 적용 여부 (boolean)
도로명 주소 여부,roadNameAddress,판매자 주소록,2,✅ 핵심 UDS,roadNameAddress boolean 도로명 주소 여부
등급 제외,leaveCount,고객 데이터,2,✅ 핵심 UDS,leaveCount integer<int64> 등급 제외
등록일시,registrationYmdt,SKU,1,✅ 핵심 UDS,registrationYmdt string<date-time> REQUIRED SKU 등록일시. KST(UTC+09:00)로 응답. Example: 2024-01-01T11:20:50.001+09:00
라운지 고객 등급 totalCount integer,loungeStats,고객 데이터,2,✅ 핵심 UDS,loungeStats LoungeStats.data-insight (object) REQUIRED 라운지 고객 등급 totalCount integer<int64> 전체 등급 수 incrementCount integer<int64> 전체 등급 변동 joinCount integer<int64> 신규 등급 추가 leaveCount integer<int64> 등급 제외 level1Count integer<int64> 레벨 1 등급 수 level2Count integer<int64> 레벨 2 등급 수 level3Count integer<int64> 레벨 3 등급 수 level4Count integer<int64> 레벨 4 등급 수 level5Count integer<int64> 레벨 5 등급 수
레벨 1 등급 수,level1Count,고객 데이터,2,✅ 핵심 UDS,level1Count integer<int64> 레벨 1 등급 수
레벨 2 등급 수,level2Count,고객 데이터,2,✅ 핵심 UDS,level2Count integer<int64> 레벨 2 등급 수
레벨 3 등급 수,level3Count,고객 데이터,2,✅ 핵심 UDS,level3Count integer<int64> 레벨 3 등급 수
레벨 4 등급 수,level4Count,고객 데이터,2,✅ 핵심 UDS,level4Count integer<int64> 레벨 4 등급 수
레벨 5 등급 수,level5Count,고객 데이터,2,✅ 핵심 UDS,level5Count integer<int64> 레벨 5 등급 수
리프 카테고리 ID,categoryId,판매 옵션,1,✅ 핵심 UDS,categoryId string REQUIRED 리프 카테고리 ID
리프 카테고리 ID (string),leafCategoryId,상품,7,✅ 핵심 UDS,leafCategoryId 리프 카테고리 ID (string)
리프 카테고리 ID (string) 상품 등록 시 필수,leafCategoryId,상품,3,✅ 핵심 UDS,leafCategoryId 리프 카테고리 ID (string) 상품 등록 시 필수입니다. 상품 수정 시 카탈로그 ID(modelId)를 입력한 경우 필수입니다. 표준형 옵션 카테고리 상품 수정 요청의 경우 CategoryId 변경 요청은 무시됩니다.(렌탈 상품은 정상 처리됨)
리프 카테고리 ID (string) REQUIRED,leafCategoryId,그룹상품,1,✅ 핵심 UDS,leafCategoryId 리프 카테고리 ID (string) REQUIRED
리프 카테고리 ID (string) REQUIRED 그룹상품,leafCategoryId,그룹상품,3,✅ 핵심 UDS,"leafCategoryId 리프 카테고리 ID (string) REQUIRED 그룹상품 등록, 수정, 전환 시 필수입니다. 그룹상품 등록 판매 옵션 사용이 가능한 카테고리(GET /v2/standard-purchase-option-guides API 조회 결과에서 useOptionYn이 true인 카테고리)만 허용됩니다. 그룹상품 수정 아래 조건을 모두 만족하는 경우에만 카테고리를 수정할 수 있습니다. 그룹상품에 속한 판매 옵션 중 하나라도 등록일로부터 30일 이내이거나 카테고리 수정일로부터 30일 이내 수정하려는 카테고리에 기존 카테고리와 동일한 판매 옵션이 존재 대카테고리는 변경할 수 없습니다. 모델명 등록으로 인해 카탈로그가 연결된 경우에는 카테고리를 변경할 수 없습니다. 카테고리 수정 시에는 수정하려는 카테고리를 기준으로 판매 옵션 정보를 조회해, 해당 카테고리에서 허용하는 판매 옵션 가이드 ID와 판매 옵션 정보를 입력해야 합니다. 그룹상품 전환 카테고리를 변경할 수 없습니"
마스킹된 작성자 ID (string),maskedWriterId,상품 문의,2,✅ 핵심 UDS,maskedWriterId 마스킹된 작성자 ID (string)
마이너스 충전금 상계 금액 (number) NULLABLE,minusChargeAmount,정산 내역,1,✅ 핵심 UDS,minusChargeAmount 마이너스 충전금 상계 금액 (number) NULLABLE 마이너스 충전금 상계 금액
마지막 페이지 여부,last,SKU,2,✅ 핵심 UDS,last boolean REQUIRED 마지막 페이지 여부 Example: false
마지막 페이지 여부 (boolean),last,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,last 마지막 페이지 여부 (boolean)
매출 연동 수수료 (number) NULLABLE 매출 연동,sellingInterlockCommissionAmount,정산 내역,1,✅ 핵심 UDS,sellingInterlockCommissionAmount 매출 연동 수수료 (number) NULLABLE 매출 연동 수수료
매출 연동 수수료 타입 (string) NULLABLE 매출,sellingInterlockCommissionType,정산 내역,1,✅ 핵심 UDS,sellingInterlockCommissionType 매출 연동 수수료 타입 (string) NULLABLE 매출 연동 수수료 타입 NAVER_SHOPPING(네이버쇼핑) TOPTOP(탑탑) EASY_BOOKING(네이버예약) ONEPLUS(원쁠딜) SEARCH_ETC(검색>기타) LENS(검색>렌즈) SHOPPING_SEARCH(검색>쇼핑검색) SHOPPING_SEARCH_CATALOG(검색>쇼핑검색카탈로그) INTEGRATED_SEARCH(검색>통합검색) INTEGRATED_SEARCH_CATALOG(검색>통합검색카탈로그) BRAND_SEARCH(광고>브랜드검색) SHOPPING_SEARCH_AD(광고>쇼핑검색) SHOPPING_BOX(광고>쇼핑박스) ONEPLUS_DEAL(광고>원쁠딜) DA(광고>DA) SA(광고>SA) NAVER(기타>네이버) NOT_NAVER(기타>네이버외) SMART_PLACE(예약) BOOK(버티컬>도서) LUXURY(버티컬>럭셔리) MR(버티컬>미스
멀티 상품 수정 요청 단건 (object),multiProductUpdateRequestVos,상품,1,✅ 핵심 UDS,"multiProductUpdateRequestVos 멀티 상품 수정 요청 단건 (object)[] REQUIRED Array [ originProductNo 원상품 번호 (integer<int64>) REQUIRED multiUpdateTypes 멀티 업데이트 종류 (string)[] SALE_PRICE(판매가), IMMEDIATE_DISCOUNT(기본 할인), STOCK(재고 변경), PRODUCT_STATUS_SALE(판매 중 변경), PRODUCT_STATUS_SUSPENSION(판매 중지 변경) Possible values: [SALE_PRICE, IMMEDIATE_DISCOUNT, STOCK, PRODUCT_STATUS_SALE, PRODUCT_STATUS_SUSPENSION] productSalePrice 판매가 정보 (object) 판매가 정보 salePrice 상품 판매 가격 (integer<int32>) REQUIRED immediateDiscountPolicy 판매"
멀티 업데이트 종류 (string),multiUpdateTypes,상품,1,✅ 핵심 UDS,"multiUpdateTypes 멀티 업데이트 종류 (string)[] SALE_PRICE(판매가), IMMEDIATE_DISCOUNT(기본 할인), STOCK(재고 변경), PRODUCT_STATUS_SALE(판매 중 변경), PRODUCT_STATUS_SUSPENSION(판매 중지 변경) Possible values: [SALE_PRICE, IMMEDIATE_DISCOUNT, STOCK, PRODUCT_STATUS_SALE, PRODUCT_STATUS_SUSPENSION]"
메시지,message,"OAuth 2.0, SKU, 고객 데이터, 고객 문의 답변 등록/수정, 고객 문의 조회, 교환, 그룹상품, 마케팅 분석, 반품, 발주/발송 처리, 부가세 내역, 브랜드, 비즈월렛 결제 내역 조회, 사이즈, 상품, 상품 검수, 상품 공지사항, 상품 공지사항 적용, 상품 목록, 상품 문의, 상품 배송 정보, 상품 속성, 상품 원산지 정보, 상품 이미지, 상품 일괄 수정, 상품정보제공고시, 솔루션 사용 API, 쇼핑행동 분석, 실시간 분석, 옵션, 외부 개발사 자체 결제, 정산 내역, 제조사, 주문 조회, 취소, 카탈로그, 카테고리, 태그, 판매 분석, 판매 옵션, 판매자 물류, 판매자 인증 JWE 해석, 패션모델",132,✅ 핵심 UDS,messagestring오류 메시지Example: Unknown Error - An error occurred during operation
면세 매출 금액 (number) REQUIRED 면세 매출,taxExemptionSalesAmount,부가세 내역,2,✅ 핵심 UDS,taxExemptionSalesAmount 면세 매출 금액 (number) REQUIRED 면세 매출 금액
모바일 결제 금액,payAmountOnMobile,판매 분석,2,✅ 핵심 UDS,payAmountOnMobile number<double> 모바일 결제 금액
모바일 결제 상품 수량,productQuantityOnMobile,판매 분석,1,✅ 핵심 UDS,productQuantityOnMobile number<double> 모바일 결제 상품 수량
모바일 결제 수,numPurchasesOnMobile,판매 분석,1,✅ 핵심 UDS,numPurchasesOnMobile number<double> 모바일 결제 수
모바일 할인가 (integer,mobileDiscountedPrice,상품 목록,1,✅ 핵심 UDS,mobileDiscountedPrice (Depecated) 모바일 할인가 (integer<int64>) DEPRECATED Possible values: <= 999999990
무이자 할부 (integer,freeInterest,상품 목록,1,✅ 핵심 UDS,freeInterest 무이자 할부 (integer<int32>)
무이자 할부 정책 (object),freeInterestPolicy,상품 일괄 수정,1,✅ 핵심 UDS,freeInterestPolicy 무이자 할부 정책 (object)
묶음배송 가능 여부 (boolean) 묶음배송 그룹 코드가,deliveryBundleGroupUsable,상품 일괄 수정,1,✅ 핵심 UDS,deliveryBundleGroupUsable 묶음배송 가능 여부 (boolean) 묶음배송 그룹 코드가 존재하는 경우 자동으로 true로 설정됩니다. 배송 속성이 HOPE_SELLER_GUARANTEE(N희망일배송)인 경우 묶음배송을 설정할 수 없습니다.
묶음배송 그룹 정보 구조체 (object) 묶음배송 그룹 정,deliveryBundleGroup,상품 배송 정보,1,✅ 핵심 UDS,"deliveryBundleGroup 묶음배송 그룹 정보 구조체 (object) 묶음배송 그룹 정보 이 구조체는 상품의 배송 정보 중 묶음배송 그룹 정보 데이터를 표현하는 구조체입니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 묶음배송 그룹 1개를 표현합니다. 이 구조체는 아래 API에서 사용합니다. 묶음배송 그룹 다건 조회, 묶음배송 그룹 등록, 묶음배송 그룹 단건 조회, 묶음배송 그룹 수정 이 구조체는 상품의 배송 정보 중 묶음배송 그룹 정보 데이터를 표현하는 구조체입니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 묶음배송 그룹 1개를 표현합니다. 이 구조체는 아래 API에서 사용합니다. 묶음배송 그룹 다건 조회, 묶음배송 그룹 등록, 묶음배송 그룹 단건 조회, 묶음배송 그룹 수정 id 묶음배송 그룹 ID (integer<int64>) 등록 요청인 경우에는 입력값이 무시됩니다. name 묶음배"
묶음배송 그룹 정보 구조체 (object) REQUIRED,deliveryBundleGroup,상품 배송 정보,2,✅ 핵심 UDS,"deliveryBundleGroup 묶음배송 그룹 정보 구조체 (object) REQUIRED 묶음배송 그룹 정보 이 구조체는 상품의 배송 정보 중 묶음배송 그룹 정보 데이터를 표현하는 구조체입니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 묶음배송 그룹 1개를 표현합니다. 이 구조체는 아래 API에서 사용합니다. 묶음배송 그룹 다건 조회, 묶음배송 그룹 등록, 묶음배송 그룹 단건 조회, 묶음배송 그룹 수정 이 구조체는 상품의 배송 정보 중 묶음배송 그룹 정보 데이터를 표현하는 구조체입니다. 이 구조체는 API 호출에 대한 요청/응답 모두에서 사용합니다. 구조체의 객체 1개는 묶음배송 그룹 1개를 표현합니다. 이 구조체는 아래 API에서 사용합니다. 묶음배송 그룹 다건 조회, 묶음배송 그룹 등록, 묶음배송 그룹 단건 조회, 묶음배송 그룹 수정 id 묶음배송 그룹 ID (integer<int64>) 등록 요청인 경우에는 입력값이 무시됩니다."
묶음배송 그룹 코드 (integer,deliveryBundleGroupId,상품 일괄 수정,1,✅ 핵심 UDS,deliveryBundleGroupId 묶음배송 그룹 코드 (integer<int64>) 묶음배송 가능이 true이고 묶음배송 그룹 코드가 null이면 기본 그룹으로 저장됩니다.(배송 속성이 ARRIVAL_GUARANTEE인 경우 제외)
묶음배송 그룹 ID,deliveryBundleGroupId,상품 배송 정보,1,✅ 핵심 UDS,deliveryBundleGroupId integer<int64> REQUIRED 묶음배송 그룹 ID
묶음배송 그룹 ID (integer,id,상품 배송 정보,5,✅ 핵심 UDS,id 묶음배송 그룹 ID (integer<int64>) 등록 요청인 경우에는 입력값이 무시됩니다.
문의 검색 시작일(yyyy-MM-dd),startSearchDate,고객 문의 조회,1,✅ 핵심 UDS,startSearchDate string REQUIRED 문의 검색 시작일(yyyy-MM-dd). 문의 검색 시작일부터 문의 검색 종료일까지의 문의를 조회합니다.
문의 검색 종료일(yyyy-MM-dd),endSearchDate,고객 문의 조회,1,✅ 핵심 UDS,endSearchDate string REQUIRED 문의 검색 종료일(yyyy-MM-dd). 문의 검색 시작일부터 문의 검색 종료일까지의 문의를 조회합니다.
문의 내용,inquiryContent,고객 문의 조회,2,✅ 핵심 UDS,inquiryContent string REQUIRED 문의 내용
문의 내용 (string),question,상품 문의,2,✅ 핵심 UDS,question 문의 내용 (string)
문의 답변 여부,answered,고객 문의 조회,2,✅ 핵심 UDS,answered boolean REQUIRED 문의 답변 여부
문의 등록 일시(yyyy-MM-dd,inquiryRegistrationDateTime,고객 문의 조회,2,✅ 핵심 UDS,inquiryRegistrationDateTime string<date-time> REQUIRED 문의 등록 일시(yyyy-MM-dd'T'HH:mm:ss.SSSXXX)
문의 번호,inquiryNo,"고객 문의 답변 등록/수정, 고객 문의 조회",4,✅ 핵심 UDS,inquiryNo integer<int64> REQUIRED 문의 번호
문의 유형,category,고객 문의 조회,2,✅ 핵심 UDS,"category string 문의 유형. 상품, 배송, 반품, 교환, 환불, 기타가 존재합니다."
물류사 정보 (object),productLogistics,상품,7,✅ 핵심 UDS,productLogistics 물류사 정보 (object)[]
물류사 정보 목록 Array,logisticsCompanies,판매자 물류,1,✅ 핵심 UDS,"logisticsCompanies LogisticsCompany.nfa (object)[] 물류사 정보 목록 Array [ logisticsCompanyId string 물류사 ID logisticsCompanyName string 물류사명 deliveryTypes string 배송 속성 목록 풀필먼트 물류사: NORMAL, TODAY, ARRIVAL_GUARANTEE 배송 물류사: SELLER_GUARANTEE, HOPE_SELLER_GUARANTEE Possible values: [NORMAL, TODAY, ARRIVAL_GUARANTEE, SELLER_GUARANTEE, HOPE_SELLER_GUARANTEE] ]"
물류사 ID,logisticsCompanyId,판매자 물류,1,✅ 핵심 UDS,logisticsCompanyId string 물류사 ID
물류사명,logisticsCompanyName,판매자 물류,1,✅ 핵심 UDS,logisticsCompanyName string 물류사명
미성년자 구매 가능 여부 (boolean),minorPurchasable,그룹상품,1,✅ 핵심 UDS,minorPurchasable 미성년자 구매 가능 여부 (boolean)
미성년자 구매 가능 여부 (boolean) REQUIRED,minorPurchasable,그룹상품,3,✅ 핵심 UDS,minorPurchasable 미성년자 구매 가능 여부 (boolean) REQUIRED 성인 카테고리인 경우 불가능으로 입력해야 합니다.
반품 거부(철회) 사유,rejectReturnReason,반품,1,✅ 핵심 UDS,rejectReturnReason string REQUIRED 반품 거부(철회) 사유 Example: 고객님께서 통화로 교환을 원하셨습니다.
반품 배송비 (integer,returnFee,상품 목록,1,✅ 핵심 UDS,returnFee 반품 배송비 (integer<int64>) Possible values: <= 1000000
반품 수량 (미,returnQuantity,반품,1,✅ 핵심 UDS,returnQuantity integer 반품 수량 (미입력 시 전체수량반품)
반품 택배사 우선순위 타입 (string) Possible,returnDeliveryCompanyPriorityType,상품 배송 정보,2,✅ 핵심 UDS,"returnDeliveryCompanyPriorityType 반품 택배사 우선순위 타입 (string) Possible values: [PRIMARY, SECONDARY_1, SECONDARY_2, SECONDARY_3, SECONDARY_4, SECONDARY_5, SECONDARY_6, SECONDARY_7, SECONDARY_8, SECONDARY_9]"
반품 택배사 정보 구조체 (object),returnDeliveryCompanies,상품 배송 정보,1,✅ 핵심 UDS,"returnDeliveryCompanies 반품 택배사 정보 구조체 (object)[] Array [ id ID (integer<int64>) name 이름 (string) returnDeliveryCompanyPriorityType 반품 택배사 우선순위 타입 (string) Possible values: [PRIMARY, SECONDARY_1, SECONDARY_2, SECONDARY_3, SECONDARY_4, SECONDARY_5, SECONDARY_6, SECONDARY_7, SECONDARY_8, SECONDARY_9] ]"
반품안심케어 정산 금액 (number) REQUIRED 반품,returnCareSettleAmount,정산 내역,1,✅ 핵심 UDS,returnCareSettleAmount 반품안심케어 정산 금액 (number) REQUIRED 반품안심케어 정산 금액
발송 건수,dispatchedCount,판매 분석,1,✅ 핵심 UDS,dispatchedCount number<double> 발송 건수
발송 기한,dispatchDueDate,발주/발송 처리,1,✅ 핵심 UDS,dispatchDueDate string<date-time> 발송 기한 Example: 2022-06-05T12:17:35.000+09:00
